activeCarHere,capacity,carsList,distance,id,inactive,latitude,longitude,modelsList,parkingAddress,showMarker,timestamp,total_cars,typeId
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:38:01.103600 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:40:06.168895 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:42:10.963106 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:44:15.838776 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:46:20.728703 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:48:25.523417 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:50:30.672668 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:52:35.480735 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:54:40.403776 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:56:45.124793 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 12:58:50.134717 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:00:55.203746 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:03:00.000655 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:05:05.100979 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:07:09.928804 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:09:14.902727 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:11:19.828012 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:13:24.390938 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:15:29.334470 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:17:34.408385 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:19:39.271072 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:21:44.175173 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:23:49.338204 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:25:54.673769 UTC,2,0.0
true,1.0,"[67, 117]",2.0,197,false,32.066829,34.783039,[10],"[{'languageId': 0, 'text': 'צקלג 8, תל אביב יפו'}, {'languageId': 1, 'text': 'צקלג 8, תל אביב יפו'}]",true,2019-01-10 13:27:59.991510 UTC,2,0.0
